title,caption,image_url,date
Umbriel at Closest Approach,"The southern hemisphere of Umbriel displays heavy cratering in this Voyager 2 image, taken Jan. 24, 1986, from a distance of 557,000 kilometers (346,000 miles). This frame, taken through the clear-filter of Voyager's narrow-angle camera, is the most detailed image of Umbriel, with a resolution of about 10 km (6 mi). Umbriel is the darkest of Uranus' larger moons and the one that appears to have experienced the lowest level of geological activity. It has a diameter of about 1,200 km (750 mi) and reflects only 16 percent of the light striking its surface; in the latter respect, Umbriel is similar to lunar highland areas. Umbriel is heavily cratered but lacks the numerous bright-ray craters seen on the other large Uranian satellites; this results in a relatively uniform surface albedo (reflectivity). The prominent crater on the terminator (upper right) is about 110 km (70 mi) across and has a bright central peak. The strangest feature in this image (at top) is a curious bright ring, the most reflective area seen on Umbriel. The ring is about 140 km (90 miles) in diameter and lies near the satellite's equator. The nature of the ring is not known, although it might be a frost deposit, perhaps associated with an impact crater. Spots against the black background are due to 'noise' in the data.",https://photojournal.jpl.nasa.gov/jpeg/PIA00040.jpg,1986-01-24
Ariel - Highest Resolution Color Picture,"The complex terrain of Ariel is viewed in this image, the best Voyager 2 color picture of the Uranian moon. The individual photos used to construct this composite were taken Jan. 24, 1986, from a distance of 170,000 kilometers (105,000 miles. Voyager captured this view of Ariel's southern hemisphere through the green, blue and violet filters of the narrow-angle camera; the resolution is about 3 km (2 mi). Most of the visible surface consists of relatively intensely cratered terrain transected by fault scarps and fault-bounded valleys (graben). Some of the largest valleys, which can be seen near the terminator (at right), are partly filled with younger deposits that are less heavily cratered. Bright spots near the limb and toward the left are chiefly the rims of small craters. Most of the brightly rimmed craters are too small to be resolved here, although one about 30 km (20 mi) in diameter can be easily distinguished near the center. These bright-rim craters, though the youngest features on Ariel, probably have formed over a long span of geological time. Although Ariel has a diameter of only about 1,200 km (750 mi), it has clearly experienced a great deal of geological activity in the past.",https://photojournal.jpl.nasa.gov/jpeg/PIA00041.jpg,1986-01-24
Neptune Full Disk,"During August 16 and 17, 1989, the Voyager 2 narrow-angle camera was used to photograph Neptune almost continuously, recording approximately two and one-half rotations of the planet. These images represent the most complete set of full disk Neptune images that the spacecraft will acquire. This picture from the sequence shows two of the four cloud features which have been tracked by the Voyager cameras during the past two months. The large dark oval near the western limb (the left edge) is at a latitude of 22 degrees south and circuits Neptune every 18.3 hours. The bright clouds immediately to the south and east of this oval are seen to substantially change their appearances in periods as short as four hours. The second dark spot, at 54 degrees south latitude near the terminator (lower right edge), circuits Neptune every 16.1 hours. This image has been processed to enhance the visibility of small features, at some sacrifice of color fidelity.",https://photojournal.jpl.nasa.gov/jpeg/PIA00046.jpg,1996-01-29
Neptune - Changes in Great Dark Spot,"The bright cirrus-like clouds of Neptune change rapidly, often forming and dissipating over periods of several to tens of hours. In this sequence spanning two rotations of Neptune (about 36 hours) Voyager 2 observed cloud evolution in the region around the Great Dark Spot (GDS) at an effective resolution of about 100 kilometers (62 miles) per pixel. The surprisingly rapid changes which occur over the 18 hours separating each panel shows that in this region Neptune's weather is perhaps as dynamic and variable as that of the Earth. However, the scale is immense by our standards the Earth and the GDS are of similar size and in Neptune's frigid atmosphere, where temperatures are as low as 55 degrees Kelvin (360 F), the cirrus clouds are composed of frozen methane rather than Earth's crystals of water ice.",https://photojournal.jpl.nasa.gov/jpeg/PIA00047.jpg,1996-01-29
Miranda High Resolution of Large Fault,"This high-resolution image of Miranda was acquired by Voyager 2 on Jan. 24, 1986, when the spacecraft was 36,250 kilometers (22,500 miles) from the Uranian moon. In this clear-filter, narrow-angle image, Miranda displays a dramatically varied surface. Well shown at this resolution of 660 meters (2,160 feet) are numerous ridges and valleys -- a topography that was probably produced by compressional tectonics. Cutting across the ridges and valleys are many faults. The largest fault scarp, or cliff, is seen below and right of center; it shows grooves probably made by the contact of the fault blocks as they rubbed against each other (leaving what are known as slickensides). Movement of the down-dropped block is shown by the offset of the ridges. The fault may be 5 km (3 mi) high, or higher than the walls of the Grand Canyon on Earth.",https://photojournal.jpl.nasa.gov/jpeg/PIA00044.jpg,1986-01-24
Neptune - Changes in Great Dark Spot,"These images show changes in the clouds around Neptune's Great Dark Spot (GDS) over a four and one-half-day period. From top to bottom the images show successive rotations of the planet an interval of about 18 hours. The GDS is at a mean latitude of 20 degrees south, and covers about 30 degrees of longitude. The violet filter of the Voyager narrow angle camera was used to produce these images at distances ranging from 17 million kilometers (10.5 million miles) at the top, to 10 million kilometers (6.2 million miles) at bottom. The images have been mapped on to a rectangular latitude longitude grid to remove the effects of changing viewing geometry and the changing distance to Neptune. The sequence shows a large change in the western end (left side) of the GDS, where a dark extension apparent in the earlier images converges into an extended string of small dark spots over the next five rotations. This 'string of beads' extends from the GDS at a surprisingly large angle relative to horizontal lines of constant latitude. The large bright cloud at the southern (bottom) border of the GDS is a more or less permanent companion of the GDS. The apparent motion of smaller clouds at the periphery of the GDS suggests a counterclockwise rotation of the GDS reminiscent of flow around the Great Red Spot in Jupiter's atmosphere. This activity of the GDS is surprising because the total energy flux from the sun and from Neptune's interior is only 5 percent as large as the total energy flux on Jupiter.",https://photojournal.jpl.nasa.gov/jpeg/PIA00045.jpg,1996-01-29
Neptune - Great Dark Spot and Scooter,"This image of clouds in Neptune's atmosphere is the first that tests the accuracy of the weather forecast that was made eight days earlier to select targets for the Voyager narrow angle camera. Three of the four targeted features are visible in this photograph; all three are close to their predicted locations. The Great Dark Spot with its bright white companion is slightly to the left of center. The small bright Scooter is below and to the left, and the second dark spot with its bright core is below the Scooter. Strong eastward winds up to 400 mph cause the second dark spot to overtake and pass the larger one every five days. The spacecraft was 6.1 million kilometers (3.8 million miles) from the planet at the time of camera shuttering, and the images uses the orange, green and clear filters of the camera.",https://photojournal.jpl.nasa.gov/jpeg/PIA00048.jpg,1996-01-29
Miranda’s Geologic History (Variety of Terrain),"Miranda reveals a complex geologic history in this view, acquired by Voyager 2 on Jan. 24, 1986, around its close approach to the Uranian moon. At least three terrain types of different age and geologic style are evident at this resolution of about 700 meters (2,300 feet). Visible in this clear-filter, narrow-angle image are, from left: (1) an apparently ancient, cratered terrain consisting of rolling, subdued hills and degraded medium-sized craters (2) a grooved terrain with linear valleys and ridges developed at the expense of, or replacing, the first terrain type: and (3) a complex terrain seen along the terminator, in which intersecting curvilinear ridges and troughs are abruptly truncated by the linear, grooved terrain. Voyager scientists believe this third terrain type is intermediate in age between the first two.",https://photojournal.jpl.nasa.gov/jpeg/PIA00141.jpg,1986-01-24
Uranus’ Tenth Ring,"A newly discovered tenth ring of Uranus is barely visible near the top of this two-frame Voyager 2 mosaic. The frames composing this picture were obtained Jan. 23, 1986, from a distance of 1.12 million kilometers (690,000 miles). The tenth ring is about midway between the bright, outermost epsilon ring and the next ring down, called delta. The tenth ring, the first such feature discovered by Voyager, orbits Uranus at a radius of about 50,000 km (30,000 mi). This places the ring close to the orbit of the recently discovered 'shepherd' satellite 1986U7. All nine of the previously known rings of Uranus are visible: epsilon, delta, gamma, eta, beta, alpha, 4, 5 and 6 (from top). This image has been processed to enhance narrow features; the resolution is roughly 10 km (6 mi). Both a bright, narrow inner component and a fainter, extended outer component of the eta ring are distinct in this view. The epsilon ring -- which at this location achieves its maximum width of 100 km (60 mi) -- and the broad component of the eta ring are the only features resolved here.",https://photojournal.jpl.nasa.gov/jpeg/PIA00035.jpg,1986-01-23
Uranus Ring System,"This dramatic Voyager 2 picture reveals a continuous distribution of small particles throughout the Uranus ring system Voyager took this image while in the shadow of Uranus, at a distance of 236,000 kilometers (142,000 miles and a resolution of about 33 km (20 ml). This unique geometry -- the highest phase angle at which Voyager imaged the rings -- allows us to see lanes of fine dust particles not visible from other viewing angles. All the previously known rings are visible here, however, some of the brightest features in the image are bright dust lanes not previously seen. The combination of this unique geometry and a long, 96 second exposure allowed this spectacular observation, acquired through the clear filter of Voyager's wide-angle camera. The long exposure produced a noticeable, non-uniform smear as well as streaks due to trailed stars.",https://photojournal.jpl.nasa.gov/jpeg/PIA00142.jpg,1996-01-29
1989N1,"Voyager 2 took this image of Neptune's irregularly-shaped satellite 1989N1 from a range of 870,000 kilometers (540,000 miles). The resolution is 8 kilometers (5 miles) per pixel. The satellite has an average radius of about 200 kilometers (120 miles) and is uniformly dark with an albedo of about 6 percent. The irregular shape suggests that 1989N1 has been cold and rigid throughout its history and subject to significant impact cratering.",https://photojournal.jpl.nasa.gov/jpeg/PIA00055.jpg,1996-01-29
Nereid,"Nereid, the last satellite of Neptune to be discovered before Voyager's recent discoveries, was first seen by Gerard Kuiper in 1949. Until this Voyager 2 image was obtained, all that was known about Nereid was its orbital parameters and intrinsic brightness. This Voyager view of Nereid was obtained on Aug. 24, 1989 at a distance of 4.7 million kilometers (2.9 million miles). With a resolution of 43 kilometers (26.6 miles) per pixel, this image has sufficient detail to show the overall size and albedo. Nereid is about 170 kilometers (105 miles) across and reflects about 12 percent of the incident light.",https://photojournal.jpl.nasa.gov/jpeg/PIA00054.jpg,1989-08-24
Neptune False Color Image of Haze,"This false color photograph of Neptune was made from Voyager 2 images taken through three filters: blue, green, and a filter that passes light at a wavelength that is absorbed by methane gas. Thus, regions that appear white or bright red are those that reflect sunlight before it passes through a large quantity of methane. The image reveals the presence of a ubiquitous haze that covers Neptune in a semitransparent layer. Near the center of the disk, sunlight passes through the haze and deeper into the atmosphere, where some wavelengths are absorbed by methane gas, causing the center of the image to appear less red. Near the edge of the planet, the haze scatters sunlight at higher altitude, above most of the methane, causing the bright red edge around the planet. By measuring haze brightness at several wavelengths, scientists are able to estimate the thickness of the haze and its ability to scatter sunlight. The image is among the last full disk photos that Voyager 2 took before beginning its endless journey into interstellar space.",https://photojournal.jpl.nasa.gov/jpeg/PIA00057.jpg,1996-01-29
Neptune in False Color,"In this false color image of Neptune, objects that are deep in the atmosphere are blue, while those at higher altitudes are white. The image was taken by Voyager 2's wide-angle camera through an orange filter and two different methane filters. Light at methane wavelengths is mostly absorbed in the deeper atmosphere. The bright, white feature is a high altitude cloud just south of the Great Dark Spot. The hard, sharp inner boundary within the bright cloud is an artifact of computer processing on Earth. Other, smaller clouds associated with the Great Dark Spot are white or pink, and are also at high altitudes. Neptune's limb looks reddish because Voyager 2 is viewing it tangentially, and the sunlight is scattered back to space before it can be absorbed by the methane. A long, narrow band of high altitude clouds near the top of the image is located at 25 degrees north latitude, and faint hazes mark the equator and polar regions.",https://photojournal.jpl.nasa.gov/jpeg/PIA00051.jpg,1996-01-29
Neptune’s Southern Hemisphere,"This photograph of Neptune's southern hemisphere was taken by the narrow-angle camera on NASA's Voyager 2 when the spacecraft was 4.2 million km (2.6 million miles) from the planet. The smallest features that can be seen are 38 km (24 miles) across. The almond-shaped structure at the left is a large cloud system that has been seen for several weeks. Internal details in the feature have become increasingly apparent as Voyager 2 has approached. Systems with similar shapes in Jupiter's atmosphere rotate about their centers, rolling in the local winds that increase toward the south. However, the wispy nature of the white central clouds in this Neptunian feature make confirmation of the system's rotation difficult.",https://photojournal.jpl.nasa.gov/jpeg/PIA00050.jpg,1996-01-29
Neptune Rings and 1989N2,"In this Voyager wide-angle image taken on Aug. 23 1989, the two main rings of Neptune can be clearly seen. In the lower part of the frame the originally announced ring arc, consisting of three distinct features, is visible. This feature covers about 35 degrees of longitude and has yet to be radially resolved in Voyager images. From higher resolution images it is known that this region contains much more material than the diffuse belts seen elsewhere in its orbit, which seem to encircle the planet. This is consistent with the fact that ground-based observations of stellar occultations by the rings show them to be very broken and clumpy. The more sensitive wide-angle camera is revealing more widely distributed but fainter material. Each of these rings of material lies just outside of the orbit of a newly discovered moon. One of these moons, 1989N2, may be seen in the upper right corner. The moon is streaked by its orbital motion, whereas the stars in the frame are less smeared. The dark area around the bright moon and star are artifacts of the processing required to bring out the faint rings. This wide-angle image was taken from a range of 2 million kilometers (1.2 million miles), through the clear filter.",https://photojournal.jpl.nasa.gov/jpeg/PIA00053.jpg,1996-01-29
Neptune Clouds Showing Vertical Relief,"This Voyager 2 high resolution color image, taken 2 hours before closest approach, provides obvious evidence of vertical relief in Neptune's bright cloud streaks. These clouds were observed at a latitude of 29 degrees north near Neptune's east terminator. The linear cloud forms are stretched approximately along lines of constant latitude and the sun is toward the lower left. The bright sides of the clouds which face the sun are brighter than the surrounding cloud deck because they are more directly exposed to the sun. Shadows can be seen on the side opposite the sun. These shadows are less distinct at short wavelengths (violet filter) and more distinct at long wavelengths (orange filter). This can be understood if the underlying cloud deck on which the shadow is cast is at a relatively great depth, in which case scattering by molecules in the overlying atmosphere will diffuse light into the shadow. Because molecules scatter blue light much more efficiently than red light, the shadows will be darkest at the longest (reddest) wavelengths, and will appear blue under white light illumination. The resolution of this image is 11 kilometers (6.8 miles per pixel) and the range is only 157,000 kilometers (98,000 miles). The width of the cloud streaks range from 50 to 200 kilometers (31 to 124 miles), and their shadow widths range from 30 to 50 kilometers (18 to 31 miles). Cloud heights appear to be of the order of 50 kilometers (31 miles). This corresponds to 2 scale heights.",https://photojournal.jpl.nasa.gov/jpeg/PIA00058.jpg,1996-01-29
Neptune’s Dark Spot (D2) at High Resolution,"This bulls-eye view of Neptune's small dark spot (D2) was obtained by Voyager 2's narrow-angle camera on Aug. 24, 1989, when Voyager 2 was within 1.1 million km (680,000 miles) of the planet. The smallest structures that can be seen are 20 km (12 miles) across. This unplanned photograph was obtained when the infrared spectrograph was mapping the planet, and is the highest resolution view of the feature taken during the flyby. Banding surrounding the feature indicates unseen strong winds, while structures within the bright spot suggest both active upwelling of clouds and rotation about the center. A rotation rate has not yet been measured, but the V-shaped structure near the right edge of the bright area indicates that the spot rotates clockwise. Unlike the Great Red Spot on Jupiter, which rotates counterclockwise, if the D2 spot on Neptune rotates clockwise, the material will be descending in the dark oval region. The fact that infrared data will yield temperature information about the region above the clouds makes this observation especially valuable.",https://photojournal.jpl.nasa.gov/jpeg/PIA00064.jpg,1989-08-24
Triton High Resolution View of Northern Hemisphere,"This is one of the most detailed views of the surface of Triton taken by Voyager 2 on its flyby of the large satellite of Neptune early in the morning of Aug. 25, 1989. The picture was stored on the tape recorder and relayed to Earth later. Taken from a distance of only 40,000 km (25,000 miles), the frame is about 220 kilometers (140 miles) across and shows details as small as 750 meters (0.5 miles). Most of the area is covered by a peculiar landscape of roughly circular depressions separated by rugged ridges. This type of terrain, which covers large tracts of Triton's northern hemisphere, is unlike anything seen elsewhere in the solar system. The depressions are probably not impact craters: They are too similar in size and too regularly spaced. Their origin is still unknown, but may involve local melting and collapse of the icy surface. A conspicuous set of grooves and ridges cuts across the landscape, indicating fracturing and deformation of Triton's surface. The rarity of impact craters suggests a young surface by solar system standards, probably less than a few billion years old.",https://photojournal.jpl.nasa.gov/jpeg/PIA00061.jpg,1989-08-25
1989N1 Surface Detail,"This image of Neptune's satellite 1989N1 was obtained on Aug. 25, 1989 from a range of 146,000 kilometers (91,000 miles). The resolution is about 2.7 kilometers (1.7 miles) per line pair. The satellite, seen here about half illuminated, has an average radius of some 200 kilometers (120 miles). It is dark (albedo 6 percent) and spectrally grey. Hints of crater-like forms and groove-like lineations can be discerned. The apparent graininess of the image is caused by the short exposure necessary to avoid significant smear.",https://photojournal.jpl.nasa.gov/jpeg/PIA00062.jpg,1989-08-25
Neptune - True Color of Clouds,"This image of Neptune was taken by Voyager 2's wide-angle camera when the spacecraft was 590,000 km (370,000 miles) from the planet. The image has been processed to obtain true color balance. Additional processing was used to suppress surface brightness of the white clouds. The processing allows both the clouds' structure in the dark regions near the pole and the bright clouds east of the Great Dark Spot to be reproduced in this color photograph. Small trails of similar clouds trending east to west and large scale structure east of the Great Dark Spot all suggest that waves are present in the atmosphere and play a large role in the type of clouds that are visible.",https://photojournal.jpl.nasa.gov/jpeg/PIA00063.jpg,1996-01-29
Uranus - Final Image,"This view of Uranus was recorded by Voyager 2 on Jan 25, 1986, as the spacecraft left the planet behind and set forth on the cruise to Neptune Voyager was 1 million kilometers (about 600,000 miles) from Uranus when it acquired this wide-angle view. The picture -- a color composite of blue, green and orange frames -- has a resolution of 140 km (90 mi). The thin crescent of Uranus is seen here at an angle of 153 degrees between the spacecraft, the planet and the Sun. Even at this extreme angle, Uranus retains the pale blue-green color seen by ground-based astronomers and recorded by Voyager during its historic encounter. This color results from the presence of methane in Uranus' atmosphere; the gas absorbs red wavelengths of light, leaving the predominant hue seen here. The tendency for the crescent to become white at the extreme edge is caused by the presence of a high-altitude haze Voyager 2 -- having encountered Jupiter in 1979, Saturn in 1981 and Uranus in 1986 -- will proceed on its journey to Neptune. Closest approach is scheduled for Aug 24, 1989.",https://photojournal.jpl.nasa.gov/jpeg/PIA00143.jpg,1986-01-25
Uranus in True and False Color,"These two pictures of Uranus -- one in true color (left) and the other in false color -- were compiled from images returned Jan. 17, 1986, by the narrow-angle camera of Voyager 2. The spacecraft was 9.1 million kilometers (5.7 million miles) from the planet, several days from closest approach. The picture at left has been processed to show Uranus as human eyes would see it from the vantage point of the spacecraft. The picture is a composite of images taken through blue, green and orange filters. The darker shadings at the upper right of the disk correspond to the day-night boundary on the planet. Beyond this boundary lies the hidden northern hemisphere of Uranus, which currently remains in total darkness as the planet rotates. The blue-green color results from the absorption of red light by methane gas in Uranus' deep, cold and remarkably clear atmosphere. The picture at right uses false color and extreme contrast enhancement to bring out subtle details in the polar region of Uranus. Images obtained through ultraviolet, violet and orange filters were respectively converted to the same blue, green and red colors used to produce the picture at left. The very slight contrasts visible in true color are greatly exaggerated here. In this false-color picture, Uranus reveals a dark polar hood surrounded by a series of progressively lighter concentric bands. One possible explanation is that a brownish haze or smog, concentrated over the pole, is arranged into bands by zonal motions of the upper atmosphere. The bright orange and yellow strip at the lower edge of the planet's limb is an artifact of the image enhancement. In fact, the limb is dark and uniform in color around the planet.",https://photojournal.jpl.nasa.gov/jpeg/PIA00032.jpg,1986-01-17
Miranda - High Resolution Mosaic,"This computer-assembled mosaic of Miranda includes many of the high-resolution frames obtained by Voyager 2 during its close flyby of the Uranian moon. Miranda, roughly 500 kilometers (300 miles) in diameter, exhibits varied geologic provinces, seen in this mosaic of clear-filter, narrow-angle images from Jan. 24, 1986. The images were obtained from distances of 30,160 to 40,310 km (18,730 to 25,030 mi); resolution ranges from 560 to 740 meters (1,840 to 2,430 feet). These are among the highest-resolution pictures that Voyager has obtained of any of the new ""worlds"" it has encountered during its mission. On Miranda, ridges and valleys of one province are cut off against the boundary of the next province. Probable compressional (pushed-together) folded ridges are seen in curvilinear patterns, as are many extensional (pulled-apart) faults. Some of these show very large scarps, or cliffs, ranging from O.5 to 5 km (O.3 to 3 mi) in height -- that is, higher that the walls of the Grand Canyon on Earth. The missing piece of Miranda's surface will be included in a later mosaic once more complicated computer processing can be completed.",https://photojournal.jpl.nasa.gov/jpeg/PIA00043.jpg,1986-01-24
Europa - Mosaic,"Europa looks like a cracked egg in this computer mosaic of the best Voyager 2 images. In this presentation, the variation of surface brightness due to the angle of the sun has been removed by computer processing, so that surface features can be seen equally well at all places. The many broad dark streaks show up well, but this presentation does not bring out the much fainter and more enigmatic light streaks. These pictures were taken from a distance of about 250,000 kilometers and show features as small as 5 kilometers across.",https://photojournal.jpl.nasa.gov/jpeg/PIA00366.jpg,1996-08-09
Jupiter’s North Equatorial Belt,"This image returned by Voyager 2 shows one of the long dark clouds observed in the North Equatorial Belt of Jupiter. A high, white cloud is seen moving over the darker cloud, providing an indication of the structure of the cloud layers. Thin white clouds are also seen within the dark cloud.",https://photojournal.jpl.nasa.gov/jpeg/PIA00458.jpg,1996-09-26
