title,date,image_id,page_url,caption
Solar System Portrait - 60 Frame Mosaic,1990-02-14,PIA00451,https://photojournal.jpl.nasa.gov/catalog/PIA00451,"The cameras of Voyager 1 on Feb. 14, 1990, pointed back toward the sun and took a series of pictures of the sun and the planets, making the first ever ""portrait"" of our solar system as seen from the outside. In the course of taking this mosaic consisting of a total of 60 frames, Voyager 1 made several images of the inner solar system from a distance of approximately 4 billion miles and about 32 degrees above the ecliptic plane. Thirty-nine wide angle frames link together six of the planets of our solar system in this mosaic. Outermost Neptune is 30 times further from the sun than Earth. Our sun is seen as the bright object in the center of the circle of frames. The wide-angle image of the sun was taken with the camera's darkest filter (a methane absorption band) and the shortest possible exposure (5 thousandths of a second) to avoid saturating the camera's vidicon tube with scattered sunlight. The sun is not large as seen from Voyager, only about one-fortieth of the diameter as seen from Earth, but is still almost 8 million times brighter than the brightest star in Earth's sky, Sirius. The result of this great brightness is an image with multiple reflections from the optics in the camera. Wide-angle images surrounding the sun also show many artifacts attributable to scattered light in the optics. These were taken through the clear filter with one second exposures. The insets show the planets magnified many times. Narrow-angle images of Earth, Venus, Jupiter, Saturn, Uranus and Neptune were acquired as the spacecraft built the wide-angle mosaic. Jupiter is larger than a narrow-angle pixel and is clearly resolved, as is Saturn with its rings. Uranus and Neptune appear larger than they really are because of image smear due to spacecraft motion during the long (15 second) exposures. From Voyager's great distance Earth and Venus are mere points of light, less than the size of a picture element even in the narrow-angle camera. Earth was a crescent only 0.12 pixel in size. Coincidentally, Earth lies right in the center of one of the scattered light rays resulting from taking the image so close to the sun."
First Close-up Image of Jupiter from Voyager 1,1996-09-26,PIA00029,https://photojournal.jpl.nasa.gov/catalog/PIA00029,"NASA'S Voyager 1 took this picture of the planet Jupiter on Saturday, Jan. 6, the first in its three-month-long, close-up investigation of the largest planet. The spacecraft, flying toward a March 5 closest approach, was 35.8 million miles (57.6 million kilometers) from Jupiter and 371.7 million miles (598.2 million kilometers) from Earth when the picture was taken. As the Voyager cameras begin their meteorological surveillance of Jupiter, they reveal a dynamic atmosphere with more convective structure than had previously been thought. While the smallest atmospheric features seen in this picture are still as large as 600 miles (1,000 kilometers) across, Voyager will be able to detect individual storm systems as small as 3 miles (5 kilometers) at closest approach. The Great Red Spot can be seen near the limb at the far right. Most of the other features are too small to be seen in terrestrial telescopes. This picture is really a combination of three images taken through color filters, then transmitted to Jet Propulsion Laboratory through the Deep Space Network's antennas, and assembled by JPL's Image Processing Lab."
Solar System Portrait - Views of 6 Planets,1996-09-13,PIA00453,https://photojournal.jpl.nasa.gov/catalog/PIA00453,"These six narrow-angle color images were made from the first ever 'portrait' of the solar system taken by Voyager 1, which was more than 4 billion miles from Earth and about 32 degrees above the ecliptic. The spacecraft acquired a total of 60 frames for a mosaic of the solar system which shows six of the planets. Mercury is too close to the sun to be seen. Mars was not detectable by the Voyager cameras due to scattered sunlight in the optics, and Pluto was not included in the mosaic because of its small size and distance from the sun. These blown-up images, left to right and top to bottom are Venus, Earth, Jupiter, and Saturn, Uranus, Neptune. The background features in the images are artifacts resulting from the magnification. The images were taken through three color filters -- violet, blue and green -- and recombined to produce the color images. Jupiter and Saturn were resolved by the camera but Uranus and Neptune appear larger than they really are because of image smear due to spacecraft motion during the long (15 second) exposure times. Earth appears to be in a band of light because it coincidentally lies right in the center of the scattered light rays resulting from taking the image so close to the sun. Earth was a crescent only 0.12 pixels in size. Venus was 0.11 pixel in diameter. The planetary images were taken with the narrow-angle camera (1500 mm focal length)."
Io - Volcanic Eruption,1979-03-04,PIA00373,https://photojournal.jpl.nasa.gov/catalog/PIA00373,"This photo of a volcanic eruption on Jupiter's satellite Io (dark fountain-like feature near the limb) was taken March 4, 1979, about 12 hours before Voyager 1's closest approach to Jupiter. This and the accompanying photo present the evidence for the first active volcanic eruption ever observed on another body in the solar system. This photo taken from a distance of 310,000 miles (499,000 kilometers), shows a plume-like structure rising more than 60 miles (100 kilometers) above the surface, a cloud of material being produced by an active eruption. At least four eruptions have been identified on Voyager 1 pictures and many more may yet be discovered on closer analysis. On a nearly airless body like Io, particulate material thrown out of a volcano follows a ballistic trajectory, accounting for the dome-like shape of the top of the cloud, formed as particles reach the top of their flight path and begin to fall back. Spherical expansion of outflowing gas forms an even larger cloud surrounding the dust. Several regions have been identified by the infrared instrument on Voyager 1 as being several hundred degrees Fahrenheit warmer than surrounding terrain, and correlated with the eruptions. The fact that several eruptions appear to be going on simultaneously makes Io the most active surface in the solar system and suggests to scientists that Io is undergoing continuous volcanism, revising downward the age of Io's surface once again."
Io - One of at Least Four Simultaneous Erupting Volcanic Eruptions,1979-03-04,PIA00374,https://photojournal.jpl.nasa.gov/catalog/PIA00374,"This photo of an active volcanic eruption on Jupiter's satellite Io was taken 1 hour, 52 minutes after the accompanying picture, late in the evening of March 4, 1979, Pacific time. On the limb of the satellite can be seen one of at least four simultaneous volcanic eruptions -- the first such activity ever observed on another celestial body. Seen against the limb are plume-like structures rising more than 60 miles (100 kilometers) above the surface. Several eruptions have been identified with volcanic structures on the surface of Io, which have also been identified by Voyager 1's infrared instrument as being abnormally hot -- several hundred degrees warmer than surrounding terrain. The fact that several eruptions appear to be occurring at the same time suggests that Io has the most active surface in the solar system and that volcanism is going on there essentially continuously. Another characteristic of the observed volcanism is that it appears to be extremely explosive, with velocities more than 2,000 miles an hour (at least 1 kilometer per second). That is more violent than terrestrial volcanoes like Etna, Vesuvius or Krakatoa."
Io - Volcano Loki and Loki Patera,1996-11-16,PIA00375,https://photojournal.jpl.nasa.gov/catalog/PIA00375,"The detailed structure near the volcano Loki is like nothing seen elsewhere on Io. When this Voyager 1 picture was taken, the main eruptive activity came from the lower left of the dark linear feature (perhaps a rift) in the center. Below is the ""lava lake,"" a U-shaped dark area about 200 kilometers across. In this specially processed image, detail can be seen in the dark surface of this feature, possibly due to ""icebergs"" of solid sulfur in a liquid sulfur lake. The IRIS on Voyager 1 found this ""lava lake"" to be the hottest region on Io, with a temperature about 150 degrees Celsius higher than that of the surrounding area."
Io At 5 Million Miles,1979-03-02,PIA00378,https://photojournal.jpl.nasa.gov/catalog/PIA00378,"This photo of Jupiter's satellite Io was taken by Voyager 1 about 4:30 p.m. (PST) March 2, 1979. The spacecraft was about 5 million miles (8.3 million kilometers away). Voyager 1 was mapping Jupiter with the cameras and infrared instrument at the time the picture was taken. The hemisphere seen here is the one that always faces away from Jupiter. This photo shows details on Io never before seen. The smallest features are about 38 miles (70 kilometers) across. Near the center and slightly to the right can be seen several round features with dark centers and bright rims. They may be the first craters ever observed on Io. At this resolution scientists still cannot tell much about the origin of the features, which could be impact craters or of internal (volcanic) origin. No ray or ejecta patterns are obvious at this resolution."
Concentric Rings Surrounding Valhalla,1997-01-09,PIA00484,https://photojournal.jpl.nasa.gov/catalog/PIA00484,"The concentric rings surrounding Valhalla are perhaps the most distinctive geological feature on Callisto. This Voyager 1 close-up shows a segment of the ridged terrain. The presence of superimpact craters shows that the rings formed early in Callisto's history; however, the density of craters is less here than on other parts of the satellite, where the surface is older."
Volcanic Eruptions on Io,1979-03-08,PIA00379,https://photojournal.jpl.nasa.gov/catalog/PIA00379,"This dramatic view of Jupiter's satellite Io shows two simultaneously occurring volcanic eruptions. One can be seen on the limb, (at lower right) in which ash clouds are rising more than 150 miles (260 kilometers) above the satellite's surface. The second can be seen on the terminator (shadow between day and night) where the volcanic cloud is catching the rays of the rising sun. The dark hemisphere of Io is made visible by light reflected from Jupiter. Seen in Io's night sky, Jupiter looms almost 40 times larger and 200 times brighter than our own full Moon. This photo was taken by Voyager 1 on March 8, 1979, looking back 2.6 million miles (4.5 million kilometers) at Io, three days after its historic encounter. This is the same image in which Linda A. Morabito, a JPL engineer, discovered the first extraterrestrial volcanic eruption (the bright curved volcanic cloud on the limb)."
"Ganymede At 150,000 Miles",1979-03-05,PIA00380,https://photojournal.jpl.nasa.gov/catalog/PIA00380,"This picture of Ganymede, Jupiter's largest satellite, was taken by Voyager 1 on the afternoon of March 5, 1979, from a range of about 250,000 km (150,000 mi.). The center of the picture is at 60 north latitude and 318 longitude, and the distance across the bottom of the photograph is about 1000 km (600 mi.). The smallest features visible in this picture are about 5 km (3 mi.) across. This picture shows impact craters many of which display ray systems probably consisting largely of icy material thrown out by the impacts. Peculiar systems of sinuous ridges and grooves traverse the surface and are best seen near the terminator. These ridges and grooves are probably the result of deformation of the thick ice crust on Ganymede."
Lights In The Night,1979-03-05,PIA00204,https://photojournal.jpl.nasa.gov/catalog/PIA00204,"LIGHTS IN THE NIGHT ON JUPITER: This Voyager 1 image was taken of Jupiter's darkside on March 5, 1979. The picture is a 3 minute, 12 second exposure by the wide angle camera taken when the spacecraft was in Jupiter's shadow, about 6 hours after closest approach to the planet at a distance of 320,000 miles. Jupiter's north pole is on the limb toward the upper center. The long bright double streak is an aurora on Jupiter's limb near its north pole. The other bright spots probably are lightning but could be auroral features. The aurora s structure may be real or it may be caused by scan platform stepping during the exposure. The diagonal displacement of bright spots within each of the three active regions is due generally to the scan platform stepping; but the patterns do not reproduce in detail nor do they exhibit exactly the displacements of the camera during the exposure. As lightning flashes they are comparable to the brightness of superbolts seen at the tops of terrestrial tropical thunderstorms. As auroral features they would be required to be much brighter than those on Earth."
Titan’s Brighter Southern Hemisphere,1980-11-04,PIA00733,https://photojournal.jpl.nasa.gov/catalog/PIA00733,"Titan, the largest of Saturn's 14 known satellites, shows little more than the upper layers of clouds covering the moon in this Voyager 1 picture, taken on November 4, 1980 at a range of 12 million kilometers (7,560,000 miles). The orange colored haze, believed to be composed of photochemically produced hydrocarbons, hides Titan's solid surface from the Voyager cameras. Some weak shadings in the clouds are becoming visible. However, note that the satellite's southern (lower) hemisphere is brighter than the northern. It is not known whether these subtle shadings are on the surface or are due to clouds below a high haze layer."
